Date,Open,High,Low,Close
03/01/2000,6024.38,6102.12,5901.77,5917.37
04/01/2000,5922.23,5925.07,5657.2,5672.02
05/01/2000,5521.83,5589.5,5461.59,5479.7
06/01/2000,5485.93,5530.26,5388.85,5450.11
07/01/2000,5423.88,5561.69,5423.88,5539.61
10/01/2000,5625.82,5717.44,5616.98,5646.12
11/01/2000,5726.51,5726.51,5571.99,5613.9
12/01/2000,5541.23,5628.73,5536.5,5582.5
13/01/2000,5586.25,5682.27,5579.49,5633.24
14/01/2000,5669.14,5804.16,5664.71,5787.44
17/01/2000,5834.75,5857.36,5740.19,5842.78
18/01/2000,5859.44,5859.44,5670.27,5672.95
19/01/2000,5664.92,5668.06,5590.19,5649.46
20/01/2000,5713.04,5727.82,5660.25,5709.74
21/01/2000,5656.1,5738.16,5630.63,5681.32
24/01/2000,5687.36,5777.68,5680.6,5690.86
25/01/2000,5601.18,5654.52,5590.17,5597.5
26/01/2000,5636.61,5687.43,5618.96,5646.32
27/01/2000,5671.64,5727.53,5625.23,5688.35
28/01/2000,5743.2,5813.28,5696.09,5731.05
31/01/2000,5677.79,5707.88,5625.72,5659.81
01/02/2000,5700.87,5798.47,5700.87,5773.42
02/02/2000,5814.26,5956.14,5811.36,5946.86
03/02/2000,6025.84,6149.67,5979.06,6149.67
04/02/2000,6197.4,6312.42,6192.86,6275.72
07/02/2000,6276.47,6336.68,6203.58,6203.58
08/02/2000,6252.31,6396.39,6232.95,6297.66
09/02/2000,6390.79,6396.97,6240.07,6271.6
10/02/2000,6212.56,6250.72,6168.66,6207.52
11/02/2000,6263.44,6324.06,6148.47,6287.01
14/02/2000,6241.91,6270.6,6191.76,6268.32
15/02/2000,6286.01,6330.01,6076.86,6092.63
16/02/2000,6160.42,6178.07,5997.77,6046.27
17/02/2000,6040,6222.87,6027.22,6154.96
18/02/2000,6166.12,6184,6044.22,6062.72
21/02/2000,5979.13,5994.04,5928.04,5967.28
22/02/2000,5986.85,6066.11,5920.61,5963.31
23/02/2000,6038.86,6064.21,5992.02,6031.25
24/02/2000,6106.32,6177.59,6069.51,6078.78
25/02/2000,6171.57,6202.53,6122.71,6188.64
28/02/2000,6181.05,6229.6,6031.69,6102.73
29/02/2000,6167.04,6264.25,6146.85,6190.96
01/03/2000,6272.13,6283.6,6184.51,6256.32
02/03/2000,6319.23,6479.43,6276.34,6477.55
03/03/2000,6448.34,6555.87,6432.74,6514.11
06/03/2000,6554.95,6590.35,6529.37,6545.98
07/03/2000,6507.26,6589.18,6437.04,6441.85
08/03/2000,6366.83,6439.06,6333.46,6344.97
09/03/2000,6429.34,6447.73,6359.41,6423.43
10/03/2000,6543.19,6561.34,6465.05,6510.28
13/03/2000,6477.47,6483.81,6254.38,6336.93
14/03/2000,6331.22,6376.81,6271.59,6350.35
15/03/2000,6242.79,6249.66,6144.07,6188.94
16/03/2000,6217.62,6335.9,6216.97,6258.53
17/03/2000,6439.83,6447.17,6281.77,6304.28
20/03/2000,6328.04,6417.63,6319.48,6352.51
21/03/2000,6320.12,6334.62,6253.72,6320.87
22/03/2000,6401.45,6460.81,6270.44,6279.29
23/03/2000,6313.05,6337.32,6176.62,6268.31
24/03/2000,6344.79,6367.57,6283.39,6364.26
27/03/2000,6409.58,6459.63,6369.01,6450.85
28/03/2000,6427.68,6584.37,6424.46,6524.3
29/03/2000,6496.45,6567.95,6486.55,6505.48
30/03/2000,6454.36,6454.9,6289.98,6313.82
31/03/2000,6241.75,6359.51,6166.82,6286.05
03/04/2000,6382.28,6382.28,6083.08,6130.27
04/04/2000,6138,6250.09,6138,6221.94
05/04/2000,6189.7,6216.13,5913.71,6036.94
06/04/2000,6148.74,6243.42,6093.3,6224.02
07/04/2000,6342.2,6347.75,6207.76,6308.04
10/04/2000,6393.7,6429.51,6350.78,6364.9
11/04/2000,6253.59,6316.8,6201.51,6261.42
